,ncodpers,age,fecha_alta,ind_nuevo,tiprel_1mes,renta,segmento
76,22019,81,1995-09-15,0.0,A,148600.95,02 - PARTICULARES
77,22019,81,1995-09-15,0.0,A,148600.95,02 - PARTICULARES
78,22019,81,1995-09-15,0.0,A,148600.95,02 - PARTICULARES
79,22019,81,1995-09-15,0.0,A,148600.95,02 - PARTICULARES
80,22019,81,1995-09-15,0.0,A,148600.95,02 - PARTICULARES
81,22019,81,1995-09-15,0.0,A,148600.95,02 - PARTICULARES
82,22019,81,1995-09-15,0.0,A,148600.95,02 - PARTICULARES
83,22019,81,1995-09-15,0.0,A,148600.95,02 - PARTICULARES
84,584034,41,2005-12-06,0.0,A,164421.24,02 - PARTICULARES
85,584034,41,2005-12-06,0.0,A,164421.24,02 - PARTICULARES
86,584034,41,2005-12-06,0.0,A,164421.24,02 - PARTICULARES
87,584034,41,2005-12-06,0.0,A,164421.24,02 - PARTICULARES
88,584034,41,2005-12-06,0.0,A,164421.24,02 - PARTICULARES
89,584034,41,2005-12-06,0.0,A,164421.24,02 - PARTICULARES
90,584034,41,2005-12-06,0.0,A,164421.24,02 - PARTICULARES
91,584034,41,2005-12-06,0.0,A,164421.24,02 - PARTICULARES
92,584034,41,2005-12-06,0.0,A,164421.24,02 - PARTICULARES
93,584034,42,2005-12-06,0.0,A,164421.24,02 - PARTICULARES
94,584034,42,2005-12-06,0.0,A,164421.24,02 - PARTICULARES
95,584034,42,2005-12-06,0.0,A,164421.24,02 - PARTICULARES
96,584034,42,2005-12-06,0.0,A,164421.24,02 - PARTICULARES
97,584034,42,2005-12-06,0.0,A,164421.24,02 - PARTICULARES
98,584034,42,2005-12-06,0.0,A,164421.24,02 - PARTICULARES
99,584034,42,2005-12-06,0.0,A,164421.24,02 - PARTICULARES
100,584034,42,2005-12-06,0.0,A,164421.24,02 - PARTICULARES
101,649543,33,2006-10-18,0.0,A,90722.34,03 - UNIVERSITARIO
102,649543,33,2006-10-18,0.0,A,90722.34,03 - UNIVERSITARIO
103,649543,33,2006-10-18,0.0,A,90722.34,03 - UNIVERSITARIO
104,649543,33,2006-10-18,0.0,A,90722.34,03 - UNIVERSITARIO
105,649543,33,2006-10-18,0.0,A,90722.34,03 - UNIVERSITARIO
106,649543,33,2006-10-18,0.0,A,90722.34,03 - UNIVERSITARIO
107,649543,33,2006-10-18,0.0,A,90722.34,03 - UNIVERSITARIO
108,649543,33,2006-10-18,0.0,A,90722.34,03 - UNIVERSITARIO
109,649543,33,2006-10-18,0.0,A,90722.34,03 - UNIVERSITARIO
110,649543,33,2006-10-18,0.0,A,90722.34,03 - UNIVERSITARIO
111,649543,33,2006-10-18,0.0,A,90722.34,03 - UNIVERSITARIO
112,649543,33,2006-10-18,0.0,A,90722.34,03 - UNIVERSITARIO
113,649543,33,2006-10-18,0.0,A,90722.34,03 - UNIVERSITARIO
114,649543,34,2006-10-18,0.0,A,90722.34,02 - PARTICULARES
115,649543,34,2006-10-18,0.0,A,90722.34,02 - PARTICULARES
116,1138250,42,2013-06-24,0.0,A,84281.73,02 - PARTICULARES
117,1138250,42,2013-06-24,0.0,A,84281.73,02 - PARTICULARES
118,1138250,42,2013-06-24,0.0,A,84281.73,02 - PARTICULARES
119,1138250,42,2013-06-24,0.0,A,84281.73,02 - PARTICULARES
120,1138250,42,2013-06-24,0.0,A,84281.73,02 - PARTICULARES
121,1138250,42,2013-06-24,0.0,A,84281.73,02 - PARTICULARES
122,1138250,42,2013-06-24,0.0,A,84281.73,02 - PARTICULARES
123,1138250,42,2013-06-24,0.0,A,84281.73,02 - PARTICULARES
124,1138250,42,2013-06-24,0.0,A,84281.73,02 - PARTICULARES
125,1138250,42,2013-06-24,0.0,A,84281.73,02 - PARTICULARES
126,1138250,42,2013-06-24,0.0,A,84281.73,02 - PARTICULARES
127,1138250,42,2013-06-24,0.0,A,84281.73,02 - PARTICULARES
128,1138250,42,2013-06-24,0.0,A,84281.73,02 - PARTICULARES
129,1138250,42,2013-06-24,0.0,A,84281.73,02 - PARTICULARES
130,1138250,42,2013-06-24,0.0,A,84281.73,02 - PARTICULARES
131,1138250,43,2013-06-24,0.0,A,84281.73,02 - PARTICULARES
132,1138250,43,2013-06-24,0.0,A,84281.73,02 - PARTICULARES
133,449734,22,2003-12-20,0.0,A,67368.78,02 - PARTICULARES
134,449734,22,2003-12-20,0.0,A,67368.78,02 - PARTICULARES
135,449734,22,2003-12-20,0.0,A,67368.78,02 - PARTICULARES
136,449734,22,2003-12-20,0.0,A,67368.78,02 - PARTICULARES
137,449734,22,2003-12-20,0.0,A,67368.78,02 - PARTICULARES
138,449734,22,2003-12-20,0.0,A,67368.78,02 - PARTICULARES
139,449734,22,2003-12-20,0.0,A,67368.78,02 - PARTICULARES
140,449734,22,2003-12-20,0.0,A,67368.78,02 - PARTICULARES
141,449734,22,2003-12-20,0.0,A,67368.78,02 - PARTICULARES
142,449734,22,2003-12-20,0.0,A,67368.78,02 - PARTICULARES
143,449734,22,2003-12-20,0.0,A,67368.78,02 - PARTICULARES
144,449734,22,2003-12-20,0.0,A,67368.78,02 - PARTICULARES
145,449734,23,2003-12-20,0.0,A,67368.78,02 - PARTICULARES
146,449734,23,2003-12-20,0.0,A,67368.78,02 - PARTICULARES
147,449734,23,2003-12-20,0.0,A,67368.78,02 - PARTICULARES
148,449734,23,2003-12-20,0.0,A,67368.78,02 - PARTICULARES
149,449734,23,2003-12-20,0.0,A,67368.78,02 - PARTICULARES
150,1106109,22,2012-11-27,0.0,I,61264.68,03 - UNIVERSITARIO
151,1106109,22,2012-11-27,0.0,I,61264.68,03 - UNIVERSITARIO
152,1106109,22,2012-11-27,0.0,I,61264.68,03 - UNIVERSITARIO
153,1106109,22,2012-11-27,0.0,I,61264.68,03 - UNIVERSITARIO
154,1106109,22,2012-11-27,0.0,I,61264.68,03 - UNIVERSITARIO
155,1106109,22,2012-11-27,0.0,I,61264.68,03 - UNIVERSITARIO
156,1106109,22,2012-11-27,0.0,I,61264.68,03 - UNIVERSITARIO
157,1106109,22,2012-11-27,0.0,I,61264.68,03 - UNIVERSITARIO
158,1106109,22,2012-11-27,0.0,I,61264.68,03 - UNIVERSITARIO
159,1106109,23,2012-11-27,0.0,I,61264.68,03 - UNIVERSITARIO
160,1106109,23,2012-11-27,0.0,I,61264.68,03 - UNIVERSITARIO
161,1106109,23,2012-11-27,0.0,I,61264.68,03 - UNIVERSITARIO
162,1106109,23,2012-11-27,0.0,I,61264.68,03 - UNIVERSITARIO
163,1106109,23,2012-11-27,0.0,I,61264.68,03 - UNIVERSITARIO
164,1106109,23,2012-11-27,0.0,I,61264.68,03 - UNIVERSITARIO
165,1106109,23,2012-11-27,0.0,I,61264.68,03 - UNIVERSITARIO
166,1106109,23,2012-11-27,0.0,I,61264.68,03 - UNIVERSITARIO
